agglosID,x,y,CentreLon,CentreLat,agglosName,ISO3
7664,6.274,36.717,6.27919435249999,36.7244201872656,Sahridj,DZA
7665,0.149,34.859,0.155762125937499,34.8763517071092,Saida,DZA
7673,-16.49,16.024,-16.4915997496875,16.00319081125,Saint-Louis,SEN
7676,-6.277,6.488,-6.27866549167966,6.48661513691407,Saioua,CIV
7677,28.56,-12.752,28.5509352956251,-12.7515666794922,Sakania,COD
7678,44.532,-22.912,44.5328590274999,-22.9119057755469,Sakaraha,MDG
7679,-5.285,7.448,-5.29286638074217,7.4545995496875,Sakassou,CIV
7682,2.654,6.733,2.66112492960937,6.72986034847658,Sakete I,BEN
7683,3.406,8.679,3.39472726308593,8.67847587429687,Saki,NGA
7684,7.311,4.733,7.30080287500001,4.727491825,Sakpenwa,NGA
7686,9.251,11.687,9.24987441839841,11.6830598121094,Sakwaya,NGA
7687,-0.519,8.547,-0.521011798515626,8.55079009082027,Salaga,GHA
7688,30.721,30.591,30.7192851447266,30.5934420368361,Salah al-Din,EGY
7689,5.288,35.855,5.29362002292972,35.8561657012108,Salah Bey,DZA
7690,6.854,36.7,6.85646007890626,36.7025535144139,Salah Bouchaour,DZA
7691,6.678,36.225,6.6752579119922,36.2229694020313,Salah Deradji,DZA
7694,31.101,27.242,31.1099375868751,27.2521483892969,Salam,EGY
7697,30.82,30.99,30.8148556892577,31.0010301140626,Salamun al-Ghubar,EGY
7700,30.832,28.732,30.8305415461328,28.7334616133595,Salaqus,EGY
7701,34.453,-13.778,34.440877203086,-13.7700436461329,Salima,MWI
7702,4.973,10.317,4.96724825128908,10.3175572514453,Salka,NGA
7703,31.423,30.37,31.4238551717969,30.3700851523438,Salmant,EGY
7706,31.277,30.885,31.2817550650391,30.8679848665234,Samaha,EGY
7708,30.709,28.313,30.7077723139844,28.3148574612891,Samalut,EGY
7709,9.652,11.347,9.65612320066404,11.3491653698828,Samamiya,NGA
7711,8.381,9.76,8.3860401172265,9.75577366718748,Samaru/Moroa,NGA
7712,26.363,-4.642,26.3639237911327,-4.64224247523435,Samba,COD
7715,37.731,-4.076,37.739621228789,-4.06664066472657,Same Mjini,TZA
7716,29.554,-11.361,29.5569202391017,-11.3602646919141,Samfya,ZMB
7719,30.994,30.918,30.9961256851561,30.9154164516016,Samla,EGY
7720,31.896,30.819,31.8855209018749,30.8283189222656,Sammakin al-Gharb,EGY
7722,-4.937,11.396,-4.93697968191408,11.3937623057813,Samorogouan,BFA
7723,-2.691,7.954,-2.6951076415625,7.94926379265623,Sampa,GHA
7724,27.432,-9.351,27.4328346855859,-9.35290902234374,Sampwe,COD
7725,-2.559,5.616,-2.55804703757812,5.61652574054688,Samreboi,GHA
7726,31.14,31.05,31.1360310705468,31.0543331744141,Samul,EGY
7729,31.873,30.979,31.8718092082032,30.9753341899609,San al-Hagar al-Qibliya,EGY
7730,30.991,30.728,30.9922202595311,30.7175279035547,Sanadid,EGY
7732,3.92,14.837,3.91702089863282,14.8339482378125,Sanam,NER
7734,30.806,27.508,30.7908641321875,27.4955952789063,Sanbu,EGY
7735,31.209,30.639,31.1733044175391,30.6447853547655,Sanbu & Minshat al-Sabbahi,EGY
7736,31.167,30.266,31.1641878818359,30.254800866836,Sandabis,EGY
7739,8.356,12.957,8.36110589027348,12.9612699033984,Sandamu,NGA
7740,31.532,30.472,31.5017916503125,30.4747050172265,Sandanhur,EGY
